x[16] y[16] zx nx zy ny f no ruedi[16]
1100101001000101 0100101100000111 1 0 1 0 1 0 0000000000000000
1101111111111000 0110101110101110 1 0 1 0 1 0 0000000000000000
1010110000010001 0001100111010001 1 0 1 0 1 0 0000000000000000
0101110101111110 1101010101011101 1 0 1 0 1 0 0000000000000000
1000111111000010 1001111011111110 1 0 1 0 1 0 0000000000000000
0101000100011101 0010100010010110 1 0 1 0 1 0 0000000000000000
1000011111001110 1100000101100001 1 0 1 0 1 0 0000000000000000
1011111100001110 0001101010110110 1 0 1 0 1 0 0000000000000000
1101000100000011 0010110101110010 1 0 1 0 1 0 0000000000000000
1011110100111110 1111010101001111 1 0 1 0 1 0 0000000000000000
0011000011111110 0011100010111100 1 0 1 0 1 0 0000000000000000
1110011101000001 0011101010110000 1 0 1 0 1 0 0000000000000000
0010110110011011 0100000001111011 1 0 1 0 1 0 0000000000000000
1110011000011110 1011100011011000 1 0 1 0 1 0 0000000000000000
1010111110010010 1011000011100011 1 0 1 0 1 0 0000000000000000
1010111001010000 0100001001010010 1 0 1 0 1 0 0000000000000000
0001111001110001 1101100011000111 1 0 1 0 1 0 0000000000000000
1000001011101101 1101100011001101 1 0 1 0 1 0 0000000000000000
1011100010101001 1111010101100001 1 0 1 0 1 0 0000000000000000
0110011001110101 0001001010110001 1 0 1 0 1 0 0000000000000000
0111110101101001 0100101011101010 1 0 1 0 1 0 0000000000000000
1001000100100101 1100101001100101 1 0 1 0 1 0 0000000000000000
1001100000101111 0111110001000111 1 0 1 0 1 0 0000000000000000
1101100111000001 0011110010011111 1 0 1 0 1 0 0000000000000000
1110001111101001 0110011010011111 1 0 1 0 1 0 0000000000000000
1000101011101011 0100000100111101 1 0 1 0 1 0 0000000000000000
1111100011101111 0001000100101100 1 0 1 0 1 0 0000000000000000
1011011000011101 1101011001101110 1 0 1 0 1 0 0000000000000000
0100011101000101 0100010011011010 1 0 1 0 1 0 0000000000000000
1111101011110101 0010000101110110 1 0 1 0 1 0 0000000000000000
0000000000010111 0111101011100111 1 0 1 0 1 0 0000000000000000
1111111010111010 1111010011000011 1 0 1 0 1 0 0000000000000000
0000000010010011 0001011000111010 1 0 1 0 1 0 0000000000000000
1010001000110110 1101011000110100 1 0 1 0 1 0 0000000000000000
0011001111010100 0010101101011010 1 0 1 0 1 0 0000000000000000
1101001001101110 1111010100100011 1 0 1 0 1 0 0000000000000000
0000011110000111 1001011011000110 1 0 1 0 1 0 0000000000000000
1100001100000010 1011011000101000 1 0 1 0 1 0 0000000000000000
1100000000001111 0001100111011011 1 0 1 0 1 0 0000000000000000
1100011000001000 1011100011110110 1 0 1 0 1 0 0000000000000000
0010001110110001 0101111110100111 1 0 1 0 1 0 0000000000000000
0000110111111101 1010110110000010 1 0 1 0 1 0 0000000000000000
0001111000000000 0001101101001001 1 0 1 0 1 0 0000000000000000
0000001101111101 0100000000001001 1 0 1 0 1 0 0000000000000000
1110000000010000 1100001100011110 1 0 1 0 1 0 0000000000000000
0100001000100100 1110010011011111 1 0 1 0 1 0 0000000000000000
0111010001100111 0011101010101101 1 0 1 0 1 0 0000000000000000
1100011111100000 1110110010001101 1 0 1 0 1 0 0000000000000000
1110010010111010 1101100110001000 1 0 1 0 1 0 0000000000000000
0100101010111010 0001100101101001 1 0 1 0 1 0 0000000000000000
0000110111111110 1000101011100100 1 0 1 0 1 0 0000000000000000
0100100000000110 0001101001100001 1 0 1 0 1 0 0000000000000000
0101110111110100 0010110100000100 1 0 1 0 1 0 0000000000000000
0111011011101111 1110101100101001 1 0 1 0 1 0 0000000000000000
