,Unnamed: 0,Location,Time,AgeGrp,AgeGrpStart,PopMale,PopFemale
0,0,Afghanistan,1950,0-4,0,630.044,661.578
1,1,Afghanistan,1950,5-9,5,516.206,487.335
2,2,Afghanistan,1950,10-14,10,461.378,423.326
3,3,Afghanistan,1950,15-19,15,414.369,369.363
4,4,Afghanistan,1950,20-24,20,374.109,318.392
5,5,Afghanistan,1950,25-29,25,321.311,272.299
6,6,Afghanistan,1950,30-34,30,276.279,232.168
7,7,Afghanistan,1950,35-39,35,236.792,197.326
8,8,Afghanistan,1950,40-44,40,200.616,167.179
9,9,Afghanistan,1950,45-49,45,176.525,141.22
10,10,Afghanistan,1950,50-54,50,147.126,117.7
11,11,Afghanistan,1950,55-59,55,123.896,95.305
12,12,Afghanistan,1950,60-64,60,94.572,72.748
13,13,Afghanistan,1950,65-69,65,65.057,50.043
14,14,Afghanistan,1950,70-74,70,37.983,29.217
15,15,Afghanistan,1950,75-79,75,17.012,13.085
16,16,Afghanistan,1950,80-84,80,5.023,3.863
17,17,Afghanistan,1950,85-89,85,0.863,0.663
18,18,Afghanistan,1950,90-94,90,0.078,0.061
19,19,Afghanistan,1950,95-99,95,0.004,0.003
20,20,Afghanistan,1950,100+,100,0.0,0.0
21,21,Afghanistan,1951,0-4,0,641.199,673.293
22,22,Afghanistan,1951,5-9,5,525.302,502.402
23,23,Afghanistan,1951,10-14,10,465.611,427.618
24,24,Afghanistan,1951,15-19,15,416.551,373.79
25,25,Afghanistan,1951,20-24,20,376.068,322.212
26,26,Afghanistan,1951,25-29,25,325.093,275.402
27,27,Afghanistan,1951,30-34,30,278.369,234.514
28,28,Afghanistan,1951,35-39,35,238.168,199.147
29,29,Afghanistan,1951,40-44,40,200.729,168.621
30,30,Afghanistan,1951,45-49,45,175.332,142.158
31,31,Afghanistan,1951,50-54,50,146.571,118.227
32,32,Afghanistan,1951,55-59,55,122.637,95.518
33,33,Afghanistan,1951,60-64,60,94.446,72.956
34,34,Afghanistan,1951,65-69,65,65.289,50.51
35,35,Afghanistan,1951,70-74,70,38.645,29.886
36,36,Afghanistan,1951,75-79,75,17.894,13.841
37,37,Afghanistan,1951,80-84,80,5.679,4.391
38,38,Afghanistan,1951,85-89,85,1.07,0.828
39,39,Afghanistan,1951,90-94,90,0.096,0.076
40,40,Afghanistan,1951,95-99,95,0.007,0.005
41,41,Afghanistan,1951,100+,100,0.0,0.0
42,42,Afghanistan,1952,0-4,0,650.825,669.274
43,43,Afghanistan,1952,5-9,5,533.097,521.672
44,44,Afghanistan,1952,10-14,10,471.928,434.828
45,45,Afghanistan,1952,15-19,15,420.606,380.814
46,46,Afghanistan,1952,20-24,20,377.902,327.97
47,47,Afghanistan,1952,25-29,25,329.912,280.146
48,48,Afghanistan,1952,30-34,30,281.125,238.244
49,49,Afghanistan,1952,35-39,35,240.035,202.094
50,50,Afghanistan,1952,40-44,40,201.931,171.023
51,51,Afghanistan,1952,45-49,45,174.038,143.989
52,52,Afghanistan,1952,50-54,50,146.805,119.544
53,53,Afghanistan,1952,55-59,55,121.278,96.374
54,54,Afghanistan,1952,60-64,60,94.52,73.566
55,55,Afghanistan,1952,65-69,65,65.379,51.137
56,56,Afghanistan,1952,70-74,70,39.072,30.537
57,57,Afghanistan,1952,75-79,75,18.473,14.45
58,58,Afghanistan,1952,80-84,80,6.152,4.814
59,59,Afghanistan,1952,85-89,85,1.231,0.959
60,60,Afghanistan,1952,90-94,90,0.129,0.102
61,61,Afghanistan,1952,95-99,95,0.012,0.009
62,62,Afghanistan,1952,100+,100,0.0,0.0
63,63,Afghanistan,1953,0-4,0,659.896,663.606
64,64,Afghanistan,1953,5-9,5,538.351,541.216
65,65,Afghanistan,1953,10-14,10,480.448,443.818
66,66,Afghanistan,1953,15-19,15,426.345,388.569
67,67,Afghanistan,1953,20-24,20,380.115,334.321
68,68,Afghanistan,1953,25-29,25,335.371,285.392
69,69,Afghanistan,1953,30-34,30,284.678,242.414
